SEM_EXM_EXCH_ID,SEM_SEGMENT,SEM_SMST_SECURITY_ID,SEM_INSTRUMENT_NAME,SEM_EXPIRY_CODE,SEM_TRADING_SYMBOL,SEM_LOT_UNITS,SEM_CUSTOM_SYMBOL,SEM_EXPIRY_DATE,SEM_STRIKE_PRICE,SEM_OPTION_TYPE,SEM_TICK_SIZE,SEM_EXPIRY_FLAG,SEM_EXCH_INSTRUMENT_TYPE,SEM_SERIES,SM_SYMBOL_NAME
NSE,D,49224,FUTIDX,0,BANKNIFTY-Jan2026-FUT,30,BANKNIFTY JAN FUT,27-01-2026 14:30,-0.01,XX,20,M,FUT,,
NSE,D,49225,FUTIDX,0,FINNIFTY-Jan2026-FUT,60,FINNIFTY JAN FUT,27-01-2026 14:30,-0.01,XX,10,M,FUT,,
NSE,D,49226,FUTIDX,0,MIDCPNIFTY-Jan2026-FUT,120,MIDCPNIFTY JAN FUT,27-01-2026 14:30,-0.01,XX,5,M,FUT,,
NSE,D,49229,FUTIDX,0,NIFTY-Jan2026-FUT,65,NIFTY JAN FUT,27-01-2026 14:30,-0.01,XX,10,M,FUT,,
NSE,D,49234,FUTIDX,0,NIFTYNXT50-Jan2026-FUT,25,NIFTYNXT50 JAN FUT,27-01-2026 14:30,-0.01,XX,20,M,FUT,,
NSE,D,49235,FUTSTK,0,360ONE-Jan2026-FUT,500,360ONE JAN FUT,27-01-2026 14:30,-0.01,XX,10,M,FUT,,
NSE,D,49236,FUTSTK,0,ABB-Jan2026-FUT,125,ABB JAN FUT,27-01-2026 14:30,-0.01,XX,50,M,FUT,,
NSE,D,49237,FUTSTK,0,ABCAPITAL-Jan2026-FUT,3100,ABCAPITAL JAN FUT,27-01-2026 14:30,-0.01,XX,5,M,FUT,,
NSE,D,49239,FUTSTK,0,ADANIENSOL-Jan2026-FUT,675,ADANIENSOL JAN FUT,27-01-2026 14:30,-0.01,XX,10,M,FUT,,
NSE,D,49240,FUTSTK,0,ADANIENT-Jan2026-FUT,309,ADANIENT JAN FUT,27-01-2026 14:30,-0.01,XX,10,M,FUT,,
NSE,D,49241,FUTSTK,0,ADANIGREEN-Jan2026-FUT,600,ADANIGREEN JAN FUT,27-01-2026 14:30,-0.01,XX,10,M,FUT,,
NSE,D,49242,FUTSTK,0,ADANIPORTS-Jan2026-FUT,475,ADANIPORTS JAN FUT,27-01-2026 14:30,-0.01,XX,10,M,FUT,,
NSE,D,49259,FUTSTK,0,ALKEM-Jan2026-FUT,125,ALKEM JAN FUT,27-01-2026 14:30,-0.01,XX,50,M,FUT,,
NSE,D,49260,FUTSTK,0,AMBER-Jan2026-FUT,100,AMBER JAN FUT,27-01-2026 14:30,-0.01,XX,50,M,FUT,,
NSE,D,49263,FUTSTK,0,AMBUJACEM-Jan2026-FUT,1050,AMBUJACEM JAN FUT,27-01-2026 14:30,-0.01,XX,5,M,FUT,,
NSE,D,49265,FUTSTK,0,ANGELONE-Jan2026-FUT,250,ANGELONE JAN FUT,27-01-2026 14:30,-0.01,XX,10,M,FUT,,
NSE,D,49266,FUTSTK,0,APLAPOLLO-Jan2026-FUT,350,APLAPOLLO JAN FUT,27-01-2026 14:30,-0.01,XX,10,M,FUT,,
NSE,D,49267,FUTSTK,0,APOLLOHOSP-Jan2026-FUT,125,APOLLOHOSP JAN FUT,27-01-2026 14:30,-0.01,XX,50,M,FUT,,
NSE,D,49269,FUTSTK,0,ASHOKLEY-Jan2026-FUT,5000,ASHOKLEY JAN FUT,27-01-2026 14:30,-0.01,XX,1,M,FUT,,
NSE,D,49270,FUTSTK,0,ASIANPAINT-Jan2026-FUT,250,ASIANPAINT JAN FUT,27-01-2026 14:30,-0.01,XX,10,M,FUT,,
NSE,D,49277,FUTSTK,0,ASTRAL-Jan2026-FUT,425,ASTRAL JAN FUT,27-01-2026 14:30,-0.01,XX,10,M,FUT,,
NSE,D,49278,FUTSTK,0,AUBANK-Jan2026-FUT,1000,AUBANK JAN FUT,27-01-2026 14:30,-0.01,XX,5,M,FUT,,
NSE,D,49279,FUTSTK,0,AUROPHARMA-Jan2026-FUT,550,AUROPHARMA JAN FUT,27-01-2026 14:30,-0.01,XX,10,M,FUT,,
NSE,D,49282,FUTSTK,0,AXISBANK-Jan2026-FUT,625,AXISBANK JAN FUT,27-01-2026 14:30,-0.01,XX,10,M,FUT,,
NSE,D,49303,FUTSTK,0,BAJAJ-AUTO-Jan2026-FUT,75,BAJAJ-AUTO JAN FUT,27-01-2026 14:30,-0.01,XX,50,M,FUT,,
