SEM_EXM_EXCH_ID,SEM_TRADING_SYMBOL,SEM_SMST_SECURITY_ID,SEM_INSTRUMENT_NAME
NSE,360ONE,13061,360ONE
NSE,ABB,13,ABB
NSE,ABCAPITAL,21614,ABCAPITAL
NSE,ADANIENSOL,10217,ADANIENSOL
NSE,ADANIENT,25,ADANIENT
NSE,ADANIGREEN,3563,ADANIGREEN
NSE,ADANIPORTS,15083,ADANIPORTS
NSE,ALKEM,11703,ALKEM
NSE,AMBER,1185,AMBER
NSE,AMBUJACEM,1270,AMBUJACEM
NSE,ANGELONE,324,ANGELONE
NSE,APLAPOLLO,25780,APLAPOLLO
NSE,APOLLOHOSP,157,APOLLOHOSP
NSE,ASHOKLEY,212,ASHOKLEY
NSE,ASIANPAINT,236,ASIANPAINT
NSE,ASTRAL,14418,ASTRAL
NSE,AUBANK,21238,AUBANK
NSE,AUROPHARMA,275,AUROPHARMA
NSE,AXISBANK,5900,AXISBANK
NSE,BAJAJFINSV,16675,BAJAJFINSV
NSE,BAJFINANCE,317,BAJFINANCE
NSE,BANDHANBNK,2263,BANDHANBNK
NSE,BANKBARODA,4668,BANKBARODA
NSE,BANKINDIA,4745,BANKINDIA
NSE,BDL,2144,BDL
NSE,BEL,383,BEL
NSE,BHARATFORG,422,BHARATFORG
NSE,BHARTIARTL,10604,BHARTIARTL
NSE,BHEL,438,BHEL
NSE,BIOCON,11373,BIOCON
NSE,BLUESTARCO,8311,BLUESTARCO
NSE,BOSCHLTD,2181,BOSCHLTD
NSE,BPCL,526,BPCL
NSE,BRITANNIA,547,BRITANNIA
NSE,BSE,19585,BSE
NSE,CAMS,342,CAMS
NSE,CANBK,10794,CANBK
NSE,CDSL,21174,CDSL
NSE,CGPOWER,760,CGPOWER
NSE,CHOLAFIN,685,CHOLAFIN
NSE,CIPLA,694,CIPLA
NSE,COALINDIA,20374,COALINDIA
NSE,COFORGE,11543,COFORGE
NSE,COLPAL,15141,COLPAL
NSE,CONCOR,4749,CONCOR
NSE,CROMPTON,17094,CROMPTON
NSE,CUMMINSIND,1901,CUMMINSIND
NSE,DABUR,772,DABUR
NSE,DALBHARAT,8075,DALBHARAT
NSE,DELHIVERY,9599,DELHIVERY
NSE,DIVISLAB,10940,DIVISLAB
NSE,DIXON,21690,DIXON
NSE,DLF,14732,DLF
NSE,DMART,19913,DMART
NSE,DRREDDY,881,DRREDDY
NSE,EICHERMOT,910,EICHERMOT
NSE,ETERNAL,5097,ETERNAL
NSE,EXIDEIND,676,EXIDEIND
NSE,FEDERALBNK,1023,FEDERALBNK
NSE,FORTIS,14592,FORTIS
NSE,GAIL,4717,GAIL
NSE,GLENMARK,7406,GLENMARK
NSE,GMRAIRPORT,13528,GMRAIRPORT
NSE,GODREJCP,10099,GODREJCP
